,entity_id,entity_label,score,in_training,in_validation,in_testing,from_kge,from_atom
0,10938,<http://dbpedia.org/resource/Texas_Tech_University>,-1.8993539810180664,False,False,False,True,"academicAdvisor(?_,?x)"
1,836,<http://dbpedia.org/resource/Art_Carney>,-1.9032695293426514,False,False,False,True,"academicAdvisor(?_,?x)"
2,6785,<http://dbpedia.org/resource/Lowell_High_School_(San_Francisco)>,-1.9248461723327637,False,False,False,True,"academicAdvisor(?_,?x)"
3,12150,<http://dbpedia.org/resource/Utah_Jazz>,-1.9484045505523682,False,False,False,True,"academicAdvisor(?_,?x)"
4,10905,<http://dbpedia.org/resource/Tenor_saxophone>,-1.9487502574920654,False,False,False,True,"academicAdvisor(?_,?x)"
5,1843,<http://dbpedia.org/resource/Camberwell>,-1.971369743347168,False,False,False,True,"academicAdvisor(?_,?x)"
6,7957,<http://dbpedia.org/resource/New_Westminster>,-1.972137689590454,False,False,False,True,"academicAdvisor(?_,?x)"
7,103,<http://dbpedia.org/resource/50_First_Dates>,-1.9775197505950928,False,False,False,True,"academicAdvisor(?_,?x)"
8,7189,"<http://dbpedia.org/resource/Matanuska-Susitna_Borough,_Alaska>",-1.9936034679412842,False,False,False,True,"academicAdvisor(?_,?x)"
9,3097,<http://dbpedia.org/resource/Dewsbury>,-1.9936953783035278,False,False,False,True,"academicAdvisor(?_,?x)"
10,1235,<http://dbpedia.org/resource/Ben_Gibbard>,-2.0064949989318848,False,False,False,True,"academicAdvisor(?_,?x)"
11,9762,<http://dbpedia.org/resource/San_Francisco_Giants>,-2.009145498275757,False,False,False,True,"academicAdvisor(?_,?x)"
12,9565,<http://dbpedia.org/resource/Roxy_Music>,-2.010470390319824,False,False,False,True,"academicAdvisor(?_,?x)"
13,6757,<http://dbpedia.org/resource/Lost_in_Translation_(film)>,-2.0148868560791016,False,False,False,True,"academicAdvisor(?_,?x)"
14,5729,<http://dbpedia.org/resource/John_Barry_(composer)>,-2.017120838165283,False,False,False,True,"academicAdvisor(?_,?x)"
15,10437,<http://dbpedia.org/resource/St._Lawrence_University>,-2.0177128314971924,False,False,False,True,"academicAdvisor(?_,?x)"
16,3928,<http://dbpedia.org/resource/For-profit_education>,-2.020390033721924,False,False,False,True,"academicAdvisor(?_,?x)"
17,4988,<http://dbpedia.org/resource/Howard_University>,-2.021116256713867,False,False,False,True,"academicAdvisor(?_,?x)"
18,8670,<http://dbpedia.org/resource/Pianist>,-2.035977363586426,False,False,False,True,"academicAdvisor(?_,?x)"
19,7356,<http://dbpedia.org/resource/Miami>,-2.038661479949951,False,False,False,True,"academicAdvisor(?_,?x)"
20,9421,<http://dbpedia.org/resource/Robert_Smith_(musician)>,-2.0389063358306885,False,False,False,True,"academicAdvisor(?_,?x)"
21,1758,<http://dbpedia.org/resource/Bury_My_Heart_at_Wounded_Knee_(film)>,-2.0394961833953857,False,False,False,True,"academicAdvisor(?_,?x)"
22,9707,<http://dbpedia.org/resource/Salman_Rushdie>,-2.0414633750915527,False,False,False,True,"academicAdvisor(?_,?x)"
23,9246,<http://dbpedia.org/resource/Rhode_Island>,-2.0428361892700195,False,False,False,True,"academicAdvisor(?_,?x)"
