,entity_id,entity_label,score,in_training,in_validation,in_testing,from_kge,from_atom
0,39802,<https://www.wikidata.org/wiki/Q276742>,-0.6023345589637756,True,False,False,True,"P25(?_,?x)"
1,111099,<https://www.wikidata.org/wiki/Q84276>,-0.6278781890869141,True,False,False,True,"P25(?_,?x)"
2,25948,<https://www.wikidata.org/wiki/Q204077>,-0.6367591023445129,True,False,False,True,"P22(?_,?x)"
3,100824,<https://www.wikidata.org/wiki/Q7290753>,-0.6427672505378723,True,False,False,True,"P22(?_,?x)"
4,18680,<https://www.wikidata.org/wiki/Q170586>,-0.6486732959747314,True,False,False,True,"P22(?_,?x)"
5,82511,<https://www.wikidata.org/wiki/Q57161>,-0.6489038467407227,True,False,False,True,"P22(?_,?x)"
6,48417,<https://www.wikidata.org/wiki/Q325081>,-0.6672382354736328,True,False,False,True,"P22(?_,?x)"
7,63066,<https://www.wikidata.org/wiki/Q453771>,-0.677798330783844,True,False,False,True,"P22(?_,?x)"
8,84292,<https://www.wikidata.org/wiki/Q5934518>,-0.6803768873214722,True,False,False,True,"P22(?_,?x)"
9,81330,<https://www.wikidata.org/wiki/Q560806>,-0.6804606318473816,True,False,False,True,"P22(?_,?x)"
10,42885,<https://www.wikidata.org/wiki/Q2961031>,-0.6894753575325012,True,False,False,True,"P25(?_,?x)"
11,11404,<https://www.wikidata.org/wiki/Q15189>,-0.6901980042457581,True,False,False,True,"P22(?_,?x)"
12,45612,<https://www.wikidata.org/wiki/Q312305>,-0.6928353309631348,True,False,False,True,"P22(?_,?x)"
13,51402,<https://www.wikidata.org/wiki/Q3390008>,-0.7003650665283203,True,False,False,True,"P22(?_,?x)"
14,52095,<https://www.wikidata.org/wiki/Q34464>,-0.7017174363136292,True,False,False,True,"P22(?_,?x)"
15,64263,<https://www.wikidata.org/wiki/Q462536>,-0.7023277282714844,True,False,False,True,"P25(?_,?x)"
16,113921,<https://www.wikidata.org/wiki/Q93408>,-0.7030038237571716,False,False,False,True,"P22(?_,?x)"
17,64301,<https://www.wikidata.org/wiki/Q462892>,-0.7030082941055298,True,False,False,True,"P22(?_,?x)"
18,31572,<https://www.wikidata.org/wiki/Q234219>,-0.7063193917274475,True,False,False,True,"P25(?_,?x)"
19,85905,<https://www.wikidata.org/wiki/Q61277>,-0.7067038416862488,True,False,False,True,"P22(?_,?x)"
20,105305,<https://www.wikidata.org/wiki/Q7609990>,-0.7114388942718506,True,False,False,True,"P22(?_,?x)"
21,52272,<https://www.wikidata.org/wiki/Q346>,-0.711508572101593,True,False,False,True,"P22(?_,?x)"
22,28132,<https://www.wikidata.org/wiki/Q213618>,-0.7131999731063843,True,False,False,True,"P22(?_,?x)"
23,11079,<https://www.wikidata.org/wiki/Q150611>,-0.715993344783783,True,False,False,True,"P22(?_,?x)"
24,90732,<https://www.wikidata.org/wiki/Q64548>,-0.7229164838790894,True,False,False,True,"P22(?_,?x)"
25,63423,<https://www.wikidata.org/wiki/Q456454>,-0.7246206402778625,True,False,False,True,"P22(?_,?x)"
26,99479,<https://www.wikidata.org/wiki/Q719626>,-0.7248908877372742,True,False,False,True,"P22(?_,?x)"
27,47436,<https://www.wikidata.org/wiki/Q3183249>,-0.7281533479690552,True,False,False,True,"P22(?_,?x)"
28,48028,<https://www.wikidata.org/wiki/Q321776>,-0.7309388518333435,True,False,False,True,"P22(?_,?x)"
29,85050,<https://www.wikidata.org/wiki/Q60438>,-0.7325392365455627,True,False,False,True,"P22(?_,?x)"
30,12674,<https://www.wikidata.org/wiki/Q156723>,-0.7348637580871582,True,False,False,True,"P25(?_,?x)"
31,90210,<https://www.wikidata.org/wiki/Q6396693>,-0.7351168394088745,True,False,False,True,"P22(?_,?x)"
32,52885,<https://www.wikidata.org/wiki/Q3506475>,-0.7360672950744629,True,False,False,True,"P22(?_,?x)"
33,31516,<https://www.wikidata.org/wiki/Q234045>,-0.7408933639526367,True,False,False,True,"P25(?_,?x)"
34,73389,<https://www.wikidata.org/wiki/Q5171445>,-0.7425158023834229,True,False,False,True,"P22(?_,?x)"
35,113986,<https://www.wikidata.org/wiki/Q935566>,-0.7439972162246704,True,False,False,True,"P22(?_,?x)"
36,93401,<https://www.wikidata.org/wiki/Q6755097>,-0.744236946105957,True,False,False,True,"P22(?_,?x)"
37,108011,<https://www.wikidata.org/wiki/Q786234>,-0.7456305027008057,True,False,False,True,"P22(?_,?x)"
38,49040,<https://www.wikidata.org/wiki/Q3289184>,-0.7458621263504028,True,False,False,True,"P22(?_,?x)"
39,37813,<https://www.wikidata.org/wiki/Q26731>,-0.7482619881629944,True,False,False,True,"P22(?_,?x)"
40,68910,<https://www.wikidata.org/wiki/Q4881006>,-0.7487016320228577,True,False,False,True,"P22(?_,?x)"
41,97615,<https://www.wikidata.org/wiki/Q709595>,-0.7492747902870178,True,False,False,True,"P22(?_,?x)"
42,68856,<https://www.wikidata.org/wiki/Q4874539>,-0.749597430229187,True,False,False,True,"P22(?_,?x)"
43,31903,<https://www.wikidata.org/wiki/Q235418>,-0.7508988976478577,True,False,False,True,"P25(?_,?x)"
44,44176,<https://www.wikidata.org/wiki/Q3050730>,-0.7512149214744568,True,False,False,True,"P25(?_,?x)"
45,75844,<https://www.wikidata.org/wiki/Q5335356>,-0.7519393563270569,True,False,False,True,"P22(?_,?x)"
46,21312,<https://www.wikidata.org/wiki/Q182921>,-0.752467691898346,True,False,False,True,"P22(?_,?x)"
47,43021,<https://www.wikidata.org/wiki/Q297194>,-0.7528075575828552,True,False,False,True,"P22(?_,?x)"
48,92091,<https://www.wikidata.org/wiki/Q6615222>,-0.7528436183929443,True,False,False,True,"P22(?_,?x)"
49,31787,<https://www.wikidata.org/wiki/Q234944>,-0.7532101273536682,True,False,False,True,"P25(?_,?x)"
50,63225,<https://www.wikidata.org/wiki/Q454929>,-0.7541889548301697,True,False,False,True,"P25(?_,?x)"
51,64417,<https://www.wikidata.org/wiki/Q463949>,-0.755401074886322,True,False,False,True,"P25(?_,?x)"
52,75226,<https://www.wikidata.org/wiki/Q52931>,-0.7576046586036682,True,False,False,True,"P22(?_,?x)"
53,1297,<https://www.wikidata.org/wiki/Q1064692>,-0.7586225867271423,True,False,False,True,"P22(?_,?x)"
54,37366,<https://www.wikidata.org/wiki/Q265243>,-0.7586321830749512,True,False,False,True,"P25(?_,?x)"
55,83817,<https://www.wikidata.org/wiki/Q58600>,-0.7591308951377869,True,False,False,True,"P22(?_,?x)"
56,104913,<https://www.wikidata.org/wiki/Q7562160>,-0.7599450945854187,True,False,False,True,"P22(?_,?x)"
57,25732,<https://www.wikidata.org/wiki/Q202566>,-0.7608458995819092,True,False,False,True,"P25(?_,?x)"
58,74637,<https://www.wikidata.org/wiki/Q525378>,-0.762476921081543,True,False,False,True,"P25(?_,?x)"
59,13658,<https://www.wikidata.org/wiki/Q15998941>,-0.763995885848999,True,False,False,True,"P22(?_,?x)"
60,75212,<https://www.wikidata.org/wiki/Q52926>,-0.7644327878952026,True,False,False,True,"P22(?_,?x)"
61,19449,<https://www.wikidata.org/wiki/Q17388151>,-0.7679206728935242,True,False,False,True,"P22(?_,?x)"
62,64288,<https://www.wikidata.org/wiki/Q462786>,-0.7680214047431946,True,False,False,True,"P22(?_,?x)"
63,22391,<https://www.wikidata.org/wiki/Q18707733>,-0.7691183686256409,True,False,False,True,"P22(?_,?x)"
