<https://www.wikidata.org/wiki/Q5>	Human
<https://www.wikidata.org/wiki/Q1196129>	Spouse
<https://www.wikidata.org/wiki/Q31184>	Sibling
<https://www.wikidata.org/wiki/Q10861465>	Brother
<https://www.wikidata.org/wiki/Q595094>	Sister
<https://www.wikidata.org/wiki/Q7566>	Parent
<https://www.wikidata.org/wiki/Q7560>	Mother
<https://www.wikidata.org/wiki/Q7565>	Father
<https://www.wikidata.org/wiki/Q7569>	Child
<https://www.wikidata.org/wiki/Q177232>	Son
<https://www.wikidata.org/wiki/Q308194>	Daughter
<https://www.wikidata.org/prop/P1038>	relative
<https://www.wikidata.org/prop/P26>	spouse
<https://www.wikidata.org/prop/P8810>	hasParent
<https://www.wikidata.org/prop/P22>	hasFather
<https://www.wikidata.org/prop/P25>	hasMother
<https://www.wikidata.org/prop/P40>	hasChild
<https://www.wikidata.org/prop/P3373>	hasSibling
